val_acc,val_loss,train_acc,train_loss
0.5998,3090481907.8095,0.2768,10744199.1572
0.5998,3090481907.8095,0.2768,10744199.1572
0.0553,inf,0.1519,5648743133474811386126633111912448.0000
0.0553,inf,0.1519,5648743133474811386126633111912448.0000
0.5998,nan,0.5453,nan
0.5998,nan,0.5453,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
0.5998,nan,0.5950,nan
