val_acc,val_loss,train_acc,train_loss
0.6259,1.0435,0.3744,1.5996
0.6259,1.0435,0.3744,1.5996
0.6753,0.9118,0.4727,1.3564
0.6753,0.9118,0.4727,1.3564
0.5956,1.1216,0.5411,1.1795
0.5956,1.1216,0.5411,1.1795
0.7353,0.7688,0.5764,1.0963
0.7353,0.7688,0.5764,1.0963
0.7469,0.7238,0.6014,1.0298
0.7469,0.7238,0.6014,1.0298
0.7331,0.7739,0.6139,0.9930
0.7331,0.7739,0.6139,0.9930
0.7327,0.7532,0.6313,0.9460
0.7327,0.7532,0.6313,0.9460
0.7398,0.7633,0.6348,0.9325
0.7398,0.7633,0.6348,0.9325
0.7374,0.7839,0.6478,0.8987
0.7374,0.7839,0.6478,0.8987
0.7295,0.8021,0.6479,0.8974
0.7295,0.8021,0.6479,0.8974
0.7452,0.7470,0.6586,0.8701
0.7452,0.7470,0.6586,0.8701
0.7418,0.7917,0.6614,0.8602
0.7418,0.7917,0.6614,0.8602
0.7396,0.7691,0.6642,0.8582
0.7396,0.7691,0.6642,0.8582
0.7458,0.7537,0.6695,0.8389
0.7458,0.7537,0.6695,0.8389
0.7479,0.7758,0.6772,0.8238
0.7479,0.7758,0.6772,0.8238
0.7383,0.7931,0.6795,0.8173
0.7383,0.7931,0.6795,0.8173
0.7358,0.7782,0.6806,0.8133
0.7358,0.7782,0.6806,0.8133
0.7394,0.7862,0.6821,0.8079
0.7394,0.7862,0.6821,0.8079
0.7500,0.7642,0.6843,0.8047
0.7500,0.7642,0.6843,0.8047
0.7480,0.7846,0.6872,0.7941
0.7480,0.7846,0.6872,0.7941
0.7435,0.7941,0.6925,0.7842
0.7435,0.7941,0.6925,0.7842
0.7537,0.7744,0.6918,0.7846
0.7537,0.7744,0.6918,0.7846
0.7552,0.7458,0.6936,0.7764
0.7552,0.7458,0.6936,0.7764
0.7534,0.7617,0.6968,0.7750
0.7534,0.7617,0.6968,0.7750
0.7349,0.8422,0.6974,0.7701
0.7349,0.8422,0.6974,0.7701
0.7418,0.7934,0.6984,0.7679
0.7418,0.7934,0.6984,0.7679
0.7468,0.8074,0.6979,0.7645
0.7468,0.8074,0.6979,0.7645
0.7523,0.7734,0.7018,0.7590
0.7523,0.7734,0.7018,0.7590
0.7388,0.8317,0.6989,0.7628
0.7388,0.8317,0.6989,0.7628
0.7471,0.7945,0.7024,0.7565
0.7471,0.7945,0.7024,0.7565
0.7491,0.7919,0.7048,0.7506
0.7491,0.7919,0.7048,0.7506
0.7523,0.8025,0.7077,0.7442
0.7523,0.8025,0.7077,0.7442
0.7499,0.7952,0.7034,0.7530
0.7499,0.7952,0.7034,0.7530
0.7531,0.8087,0.7048,0.7501
0.7531,0.8087,0.7048,0.7501
0.7524,0.7915,0.7072,0.7395
0.7524,0.7915,0.7072,0.7395
0.7588,0.7557,0.7063,0.7476
0.7588,0.7557,0.7063,0.7476
0.7472,0.8010,0.7074,0.7417
0.7472,0.8010,0.7074,0.7417
0.7408,0.8351,0.7065,0.7417
0.7408,0.8351,0.7065,0.7417
0.7552,0.7959,0.7120,0.7339
0.7552,0.7959,0.7120,0.7339
0.7549,0.7857,0.7119,0.7345
0.7549,0.7857,0.7119,0.7345
0.7533,0.7670,0.7126,0.7320
0.7533,0.7670,0.7126,0.7320
0.7297,0.8772,0.7122,0.7331
